end_date,link,location,name,season,start_date,tour,year,tid
Jan 12 2003,https://www.pgatour.com/tournaments/sentry-tournament-of-champions/past-results.2003.html,"Plantation Course at Kapalua, Kapalua, Maui, Hawaii",MercedesChampionships,2003,Jan 9 2003,PGA,2003,MercedesChampionshipsPGA2003
Jan 19 2003,https://www.pgatour.com/tournaments/sony-open-in-hawaii/past-results.2003.html,"Waialae CC, Honolulu, Hawaii",SonyOpeninHawaii,2003,Jan 16 2003,PGA,2003,SonyOpeninHawaiiPGA2003
Jan 26 2003,https://www.pgatour.com/tournaments/waste-management-phoenix-open/past-results.2003.html,"TPC Scottsdale, Scottsdale, Arizona",PhoenixOpen,2003,Jan 23 2003,PGA,2003,PhoenixOpenPGA2003
Feb 2 2003,https://www.pgatour.com/tournaments/desert-classic/past-results.2003.html,"PGA West (Palmer), La Quinta, California",BobHopeChryslerClassic,2003,Jan 29 2003,PGA,2003,BobHopeChryslerClassicPGA2003
Feb 9 2003,https://www.pgatour.com/tournaments/at-t-pebble-beach-pro-am/past-results.2003.html,"Pebble Beach GL, Pebble Beach, California",AT&TPebbleBeachNationalPro-Am,2003,Feb 6 2003,PGA,2003,AT&TPebbleBeachNationalPro-AmPGA2003
Feb 16 2003,https://www.pgatour.com/tournaments/farmers-insurance-open/past-results.2003.html,"Torrey Pines GC (South), San Diego, California",BuickInvitational,2003,Feb 13 2003,PGA,2003,BuickInvitationalPGA2003
Feb 23 2003,https://www.pgatour.com/tournaments/genesis-open/past-results.2003.html,"Riviera CC, Pacific Palisades, California",NissanOpen,2003,Feb 20 2003,PGA,2003,NissanOpenPGA2003
Mar 2 2003,,"Tucson National GC, Tucson, Arizona",ChryslerClassicofTucson,2003,Feb 27 2003,PGA,2003,ChryslerClassicofTucsonPGA2003
Mar 2 2003,https://www.pgatour.com/tournaments/wgc-dell-technologies-match-play/past-results.2003.html,"La Costa Resort and Spa, Carlsbad, California",WorldGolfChampionships-AccentureMatchPlayChampionship,2003,Feb 27 2003,PGA,2003,WorldGolfChampionships-AccentureMatchPlayChampionshipPGA2003
Mar 9 2003,,"Doral CC (Blue), Miami, Florida",FordChampionshipatDoral,2003,Mar 6 2003,PGA,2003,FordChampionshipatDoralPGA2003
Mar 16 2003,https://www.pgatour.com/tournaments/the-honda-classic/past-results.2003.html,"CC at Mirasol (Sunset), Palm Beach Gardens, Florida",TheHondaClassic,2003,Mar 13 2003,PGA,2003,TheHondaClassicPGA2003
Mar 23 2003,https://www.pgatour.com/tournaments/arnold-palmer-invitational-presented-by-mastercard/past-results.2003.html,"Bay Hill Club & Lodge, Orlando, Florida",BayHillInvitationalpresentedbyCooperTires,2003,Mar 20 2003,PGA,2003,BayHillInvitationalpresentedbyCooperTiresPGA2003
Mar 30 2003,https://www.theplayers.com/past-results.2003.html,"TPC Sawgrass, Ponte Vedra Beach, Florida",THEPLAYERSChampionship,2003,Mar 27 2003,PGA,2003,THEPLAYERSChampionshipPGA2003
Apr 6 2003,,"TPC Sugarloaf, Duluth, Georgia",BellSouthClassic,2003,Apr 3 2003,PGA,2003,BellSouthClassicPGA2003
Apr 13 2003,https://www.pgatour.com/tournaments/masters-tournament/past-results.2003.html,"Augusta National GC, Augusta, Georgia",MastersTournament,2003,Apr 10 2003,PGA,2003,MastersTournamentPGA2003
Apr 20 2003,https://www.pgatour.com/tournaments/rbc-heritage/past-results.2003.html,"Harbour Town GL, Hilton Head, South Carolina",MCIHeritage,2003,Apr 17 2003,PGA,2003,MCIHeritagePGA2003
Apr 27 2003,https://www.pgatour.com/tournaments/houston-open/past-results.2003.html,"Redstone GC (Fall Creek), Humble, Texas",ShellHoustonOpen,2003,Apr 24 2003,PGA,2003,ShellHoustonOpenPGA2003
May 4 2003,https://www.pgatour.com/tournaments/zurich-classic-of-new-orleans/past-results.2003.html,"English Turn G&CC, New Orleans, Louisiana",HPClassicofNewOrleans,2003,May 1 2003,PGA,2003,HPClassicofNewOrleansPGA2003
May 11 2003,https://www.pgatour.com/tournaments/wells-fargo-championship/past-results.2003.html,"Quail Hollow Club, Charlotte, North Carolina",WachoviaChampionship,2003,May 8 2003,PGA,2003,WachoviaChampionshipPGA2003
May 18 2003,https://www.pgatour.com/tournaments/at-t-byron-nelson/past-results.2003.html,"TPC Four Seasons Resort, Irving, Texas",EDSByronNelsonChampionship,2003,May 15 2003,PGA,2003,EDSByronNelsonChampionshipPGA2003
May 25 2003,https://www.pgatour.com/tournaments/charles-schwab-challenge/past-results.2003.html,"Colonial CC, Fort Worth, Texas",BankofAmericaColonial,2003,May 22 2003,PGA,2003,BankofAmericaColonialPGA2003
Jun 1 2003,https://www.pgatour.com/tournaments/the-memorial-tournament-presented-by-nationwide/past-results.2003.html,"Muirfield Village GC, Dublin, Ohio",theMemorialTournament,2003,May 29 2003,PGA,2003,theMemorialTournamentPGA2003
Jun 8 2003,,"TPC Avenel, Potomac, Maryland",FBRCapitalOpen,2003,Jun 5 2003,PGA,2003,FBRCapitalOpenPGA2003
Jun 15 2003,https://www.pgatour.com/tournaments/us-open/past-results.2003.html,"Olympia Fields CC (North), Olympia Fields, Illinois",U.S.OpenChampionship,2003,Jun 12 2003,PGA,2003,U.S.OpenChampionshipPGA2003
Jun 22 2003,https://www.pgatour.com/tournaments/the-northern-trust/past-results.2003.html,"Westchester CC, Harrison, New York",BuickClassic,2003,Jun 19 2003,PGA,2003,BuickClassicPGA2003
Jun 29 2003,https://www.pgatour.com/tournaments/fedex-st-jude-classic/past-results.2003.html,"TPC Southwind, Memphis, Tennessee",FedExSt.JudeClassic,2003,Jun 26 2003,PGA,2003,FedExSt.JudeClassicPGA2003
Jul 6 2003,https://www.pgatour.com/tournaments/bmw-championship/past-results.2003.html,"Cog Hill G&CC, Lemont, Illinois",100thWesternOpenpresentedbyGolfDigest,2003,Jul 3 2003,PGA,2003,100thWesternOpenpresentedbyGolfDigestPGA2003
Jul 13 2003,,"Brown Deer Park GC, Milwaukee, Wisconsin",GreaterMilwaukeeOpen,2003,Jul 10 2003,PGA,2003,GreaterMilwaukeeOpenPGA2003
Jul 20 2003,,"En-Joie GC, Endicott, New York",B.C.Open,2003,Jul 17 2003,PGA,2003,B.C.OpenPGA2003
Jul 20 2003,https://www.pgatour.com/tournaments/the-open-championship/past-results.2003.html,"Royal St. George GC, Dublin, Ohio",TheOpenChampionship,2003,Jul 17 2003,PGA,2003,TheOpenChampionshipPGA2003
Jul 27 2003,https://www.pgatour.com/tournaments/travelers-championship/past-results.2003.html,"TPC River Highlands, Cromwell, Connecticut",GreaterHartfordOpen,2003,Jul 24 2003,PGA,2003,GreaterHartfordOpenPGA2003
Aug 3 2003,,"Warwick Hills G&CC, Grand Blanc, Michigan",BuickOpen,2003,Jul 31 2003,PGA,2003,BuickOpenPGA2003
Aug 10 2003,,"Castle Pines GC, Castle Rock, Colorado",TheINTERNATIONAL,2003,Aug 7 2003,PGA,2003,TheINTERNATIONALPGA2003
Aug 17 2003,https://www.pgatour.com/tournaments/pga-championship/past-results.2003.html,"Oak Hill CC, Rochester, New York",PGAChampionship,2003,Aug 14 2003,PGA,2003,PGAChampionshipPGA2003
Aug 24 2003,https://www.pgatour.com/tournaments/barracuda-championship/past-results.2003.html,"Montreux G&CC, Reno, Nevada",Reno-TahoeOpen,2003,Aug 21 2003,PGA,2003,Reno-TahoeOpenPGA2003
Aug 24 2003,https://www.pgatour.com/tournaments/wgc-fedex-st-jude-invitational/past-results.2003.html,"Firestone CC (South), Akron, Ohio",WorldGolfChampionships-NECInvitational,2003,Aug 21 2003,PGA,2003,WorldGolfChampionships-NECInvitationalPGA2003
Sep 1 2003,https://www.pgatour.com/tournaments/dell-technologies-championship/past-results.2003.html,"TPC Boston, Norton, Massachusetts",DeutscheBankChampionship,2003,Aug 29 2003,PGA,2003,DeutscheBankChampionshipPGA2003
Sep 7 2003,https://www.pgatour.com/tournaments/rbc-canadian-open/past-results.2003.html,"Hamilton G&CC, Ancaster,  Canada",BellCanadianOpen,2003,Sep 4 2003,PGA,2003,BellCanadianOpenPGA2003
Sep 14 2003,https://www.pgatour.com/tournaments/john-deere-classic/past-results.2003.html,"TPC Deere Run, Silvis, Illinois",JohnDeereClassic,2003,Sep 11 2003,PGA,2003,JohnDeereClassicPGA2003
Sep 21 2003,,"Nemacolin - Mystic Rock Course, Farmington, Pennsylvania",84LumberClassicofPennsylvania,2003,Sep 18 2003,PGA,2003,84LumberClassicofPennsylvaniaPGA2003
Sep 28 2003,https://www.pgatour.com/tournaments/valero-texas-open/past-results.2003.html,"LaCantera GC (Resort), Dorado,  ",ValeroTexasOpen,2003,Sep 25 2003,PGA,2003,ValeroTexasOpenPGA2003
Oct 5 2003,https://www.pgatour.com/tournaments/sanderson-farms-championship/past-results.2003.html,"Annandale GC, Madison, Mississippi",SouthernFarmBureauClassic,2003,Oct 2 2003,PGA,2003,SouthernFarmBureauClassicPGA2003
Oct 5 2003,https://www.pgatour.com/tournaments/wgc-mexico-championship/en/past-results.2003.html,"Capital City Club (Crabapple), Atlanta, Georgia",WorldGolfChampionships-AmericanExpressChampionship,2003,Oct 2 2003,PGA,2003,WorldGolfChampionships-AmericanExpressChampionshipPGA2003
Oct 12 2003,https://www.pgatour.com/tournaments/shriners-hospitals-for-children-open/past-results.2003.html,"TPC Summerlin, Las Vegas, Nevada",LasVegasInvitational,2003,Oct 8 2003,PGA,2003,LasVegasInvitationalPGA2003
Oct 19 2003,https://www.pgatour.com/tournaments/wyndham-championship/past-results.2003.html,"Forest Oaks CC, Greensboro, North Carolina",ChryslerClassicofGreensboro,2003,Oct 16 2003,PGA,2003,ChryslerClassicofGreensboroPGA2003
Oct 26 2003,,"Magnolia GC, Lake Buena Vista, Florida",FUNAIClassicattheWALTDISNEYWORLDResort,2003,Oct 23 2003,PGA,2003,FUNAIClassicattheWALTDISNEYWORLDResortPGA2003
Nov 2 2003,https://www.pgatour.com/tournaments/valspar-championship/past-results.2003.html,"Westin Innisbrook (Copperhead), Palm Harbor, Florida",ChryslerChampionship,2003,Oct 30 2003,PGA,2003,ChryslerChampionshipPGA2003
Nov 9 2003,https://www.pgatour.com/tournaments/tour-championship/past-results.2003.html,"Champions GC, Houston, Texas",THETOURChampionshippresentedbyCoca-Cola,2003,Nov 6 2003,PGA,2003,THETOURChampionshippresentedbyCoca-ColaPGA2003
Nov 16 2003,https://www.pgatour.com/tournaments/isps-handa-melbourne-world-cup-of-golf/past-results.2003.html,"Kiawah Island Resort (Ocean), Kiawah Island, South Carolina",WorldGolfChampionships-WorldCup,2003,Nov 13 2003,PGA,2003,WorldGolfChampionships-WorldCupPGA2003
Nov 16 2003,https://www.pgatour.com/tournaments/qbe-shootout/past-results.2003.html,"Tiburon GC, Naples, Florida",FranklinTempletonShootout,2003,Nov 14 2003,PGA,2003,FranklinTempletonShootoutPGA2003
Nov 23 2003,,"Fancourt Hotel & CC Estates, George, Western Cape Province,  South Africa",PresidentsCup,2003,Nov 20 2003,PGA,2003,PresidentsCupPGA2003
Nov 30 2003,,"Trilogy GC, ,  ",TheConAgraFoodsSkinsGame,2003,Nov 29 2003,PGA,2003,TheConAgraFoodsSkinsGamePGA2003
Dec 8 2003,,"Panther Lake Course, Winter Park, Florida",PGATOURQualifyingTournament,2003,Dec 3 2003,PGA,2003,PGATOURQualifyingTournamentPGA2003
Dec 14 2003,https://www.pgatour.com/tournaments/hero-world-challenge/past-results.2003.html,"Sherwood CC, Thousand Oaks, California",TargetWorldChallengepresentedbyWilliams,2003,Dec 11 2003,PGA,2003,TargetWorldChallengepresentedbyWilliamsPGA2003
